dsdbestDenmark,dsdbestSweden,dsdMPSweden,dsdoffshoreSweden,dsdbestGlasgow,dsdMPGlasgow,dsdoffshoreGlasgow,,,,
"14,208471570179",20,"14,0884192527011",20,"11,3112026379507","7,58302829589521","10,9628548373124",,,,
"14,0672740499482",20,"13,948414759422",20,"11,1987968977964","7,50767150709972","10,8539108238741",,,,
"13,9279585183389",20,"13,8102763531881",20,"11,0878893873817","7,43331913126305","10,7464188996322",,,,
"13,7904935521495",20,"13,6739728763033",20,"10,9784550910531","7,35995439789537","10,6403548193329",,,,
"13,6548483579596",20,"13,5394737955315",20,"10,8704694945189","7,28756087261971","10,5356948236438",,,,
"13,5209927574158","19,9333591413967","13,4067491875067","19,9950042643614","10,7639085731349","7,21612244931889","10,432415627801",,,,
"13,3888971729094","19,738616878443","13,2757697245317","19,79965974914","10,6587487805034","7,14562334249185","10,3304944105581",,,,
"13,2585326136351","19,5464265839916","13,1465066607547","19,6068750945384","10,554967037374","7,07604807981312","10,2299088034297",,,,
"13,129870662019","19,3567463633591","13,0189318187117","19,4166082763112","10,4525407208391","7,00738149488938","10,1306368802192",,,,
"13,002883460504","19,1695351474689","12,8930175762238","19,2288180983734","10,3514476538144","6,93960872020715","10,0326571468236",,,,
"12,8775436986841","18,9847526738829","12,76873685364","19,0434641737728","10,2516660947963","6,8727151802661","9,93594853130587",,,,
"12,7538246007751","18,8023594683309","12,6460631014142","18,8605069061626","10,1531747278874","6,80668658489236","9,8404903742282",,,,
"12,6316999134132","18,6223168267223","12,5249702880062","18,6799074717575","10,0559526530833","6,7415089227266","9,74626241923751",,,,
"12,5111438937712","18,4445867976264","12,4054328880991","18,5016278017595","9,95997937681215","6,67716845488173","9,65324480389644",,,,
"12,3921312979835","18,2691321652079","12,2874258711214","18,3256305652414","9,8652348027196","6,61365170876528","9,56141805075219",,,,
"12,2746373698705","18,0959164326038","12,1709246900671","18,1518791524712","9,77169922269251","6,55094547206163","9,47076305863665",,,,
"12,1586378299535","17,924903805729","12,0559052706033","17,9803376586685","9,6793533081141","6,4890367868694","9,38126109419077",,,,
"12,0441088647528","17,7560591774981","11,9423440004585","17,8109708681771","9,58817810134386","6,42791294398967","9,29289378360697",,,,
"11,9310271163591","17,589348112452","11,8302177190825","17,643744239044","9,49815500741586","6,3675614773605","9,20564310458305",,,,
"11,8193696722718","17,4247368317765","11,7195037075707","17,4786238879923","9,40926578594905","6,30797015863358","9,11949137848163",,,,
"11,7091140554964","17,2621921987032","11,6101796788442","17,3155765757759","9,32149254326355","6,24912699188901","9,03442126268927",,,,
"11,600238214892","17,1016817042798","11,5022237680802","17,1545696929066","9,23481772469703","6,19102020848418","8,95041574316944",,,,
"11,4927205157646","16,9431734535015","11,3956145233833","16,9955712457423","9,14922410711542","6,133638262033","8,86745812720389",,,,
"11,3865397306958","16,7866361517911","11,2903308966933","16,8385498429256","9,06469479161251","6,07696982351164","8,78553203631708",,,,
"11,2816750306036","16,6320390918197","11,1863522349203","16,6834746821633","8,98121319639298","6,02100377648741","8,70462139937841",,,,
"11,1781059760266","16,4793521406572","11,0836582713029","16,5303155373373","8,89876304983388","5,96572921246708","8,62471044587733",,,,
"11,0758125086251","16,328545727244","10,9822291169814","16,3790427459376","8,81732838371925","5,91113542636143","8,54578369936637",,,,
"10,9747749428953","16,1795908301741","10,8820452527816","16,229627196808","8,73689352664332","5,85721191206272","8,46782597106745",,,,
"10,8749739580881","16,0324589657821","10,783087521202","16,0820403181955","8,65744309757736","5,80394835813197","8,39082235363689",,,,
"10,7763905903277","15,8871221765247","10,6853371185995","15,9362540660963","8,57896199959569","5,75133464359279","8,31475821508461",,,,
"10,6790062249258","15,7435530196484","10,5887755875676","15,7922409128887","8,5014354137565","5,69936083382915","8,23961919284342",,,,
"10,5828025888833","15,6017245561362","10,4933848095021","15,6499738362451","8,42484879313305","5,6480171765839","8,16539118798405",,,,
"10,4877617435768","15,4616103399255","10,3991469973493","15,5094263083167","8,34918785699124","5,59729409805533","8,09206035957197",,,,
"10,3938660776233","15,3231844073885","10,3060446885309","15,3705722851818","8,27443858510937","5,54718219908926","8,01961311916216",,,,
"10,3010982999191","15,18642126707","10,2140607380417","15,2333861965513","8,20058721223637","5,49767225146373","7,94803612542795",,,,
"10,2094414328472","15,0512958896737","10,1231783117146","15,0978429357242","8,12762022268448","5,44875519426401","7,87731627892028",,,,
"10,1188788056499","14,917783698291","10,0333808796488","14,9639178497864","8,055524345053","5,40042213034536","7,80744071695389",,,,
"10,0293940479606","14,7858605588658","9,94465220979666","14,8315867300457","7,98428654707925","5,35266432288112","7,73839680861688",,,,
